"Team","MeanAge","ForeignPlayers","Season"
"Leeds",22.5,22,"2000-2001"
"Arsenal",25.3,22,"2000-2001"
"Aston Villa",25,12,"2000-2001"
"Derby",23.4,24,"2000-2001"
"Chelsea",26.3,30,"2000-2001"
"Everton",25.3,20,"2000-2001"
"Middlesbrough",26,17,"2000-2001"
"Liverpool",24.7,24,"2000-2001"
"Ipswich",25.6,12,"2000-2001"
"Spurs",24.4,18,"2000-2001"
"Newcastle",23.4,25,"2000-2001"
"Southampton",26,15,"2000-2001"
"Man Utd",24.8,20,"2000-2001"
"Man City",24.7,27,"2000-2001"
"Coventry",23.7,22,"2000-2001"
"Sunderland",24.1,23,"2000-2001"
"Leicester",25.1,15,"2000-2001"
"Charlton",25.3,14,"2000-2001"
"Bradford",28.2,15,"2000-2001"
"West Ham",25,26,"2000-2001"
