"","Team","Value","Squad size","Date"
"1","Hull City","€112.85m",29,"2017-05-01"
"2","Ipswich Town","€22.95m",32,"2017-05-01"
"3","Blackpool FC","€4.25m",28,"2017-05-01"
"4","Sunderland AFC","€102.00m",28,"2017-05-01"
"5","Shrewsbury Town","€4.08m",27,"2017-05-01"
"6","Charlton Athletic","€11.35m",26,"2017-05-01"
"7","Fleetwood Town","€5.40m",30,"2017-05-01"
"8","Milton Keynes Dons","€6.73m",26,"2017-05-01"
"9","Oxford United","€6.60m",24,"2017-05-01"
"10","Wigan Athletic","€19.40m",33,"2017-05-01"
"11","Swindon Town","€5.70m",26,"2017-05-01"
"12","Doncaster Rovers","€3.15m",24,"2017-05-01"
"13","Portsmouth FC","€4.20m",27,"2017-05-01"
"14","Burton Albion","€12.65m",26,"2017-05-01"
"15","Gillingham FC","€5.28m",28,"2017-05-01"
"16","Bristol Rovers","€3.58m",29,"2017-05-01"
"17","Plymouth Argyle","€3.95m",25,"2017-05-01"
"18","Northampton Town","€6.08m",26,"2017-05-01"
"19","Lincoln City","€1.18m",28,"2017-05-01"
"20","Peterborough United","€4.63m",22,"2017-05-01"
"21","Rochdale AFC","€4.25m",28,"2017-05-01"
"22","Crewe Alexandra","€2.53m",22,"2017-05-01"
"23","AFC Wimbledon","€3.88m",26,"2017-05-01"
"24","Accrington Stanley","€2.15m",26,"2017-05-01"
