"","Team","Value","Squad size","Date"
"1","Salford City","-",NA,"2011-02-01"
"2","Southend United","€3.75m",24,"2011-02-01"
"3","Bolton Wanderers","€90.75m",28,"2011-02-01"
"4","Oldham Athletic","€4.65m",30,"2011-02-01"
"5","Tranmere Rovers","€3.73m",28,"2011-02-01"
"6","Morecambe FC","€3.80m",25,"2011-02-01"
"7","Grimsby Town","-",NA,"2011-02-01"
"8","Colchester United","€6.10m",27,"2011-02-01"
"9","Leyton Orient","€7.23m",30,"2011-02-01"
"10","Mansfield Town","€1.48m",26,"2011-02-01"
"11","Bradford City","€3.43m",29,"2011-02-01"
"12","Scunthorpe United","€10.65m",31,"2011-02-01"
"13","Barrow AFC","€975Th.",25,"2011-02-01"
"14","Port Vale FC","€3.28m",27,"2011-02-01"
"15","Cheltenham Town","€1.75m",24,"2011-02-01"
"16","Exeter City","€4.88m",31,"2011-02-01"
"17","Carlisle United","€4.73m",25,"2011-02-01"
"18","Crawley Town","€2.45m",32,"2011-02-01"
"19","Newport County","€950Th.",16,"2011-02-01"
"20","Cambridge United","€850Th.",25,"2011-02-01"
"21","Walsall FC","€6.18m",27,"2011-02-01"
"22","Forest Green Rovers","€1.88m",37,"2011-02-01"
"23","Stevenage FC","€2.98m",25,"2011-02-01"
"24","Harrogate Town","€400Th.",18,"2011-02-01"
