"","Team","Value","Squad size","Date"
"1","Liverpool FC","€331.50m",25,"2014-12-15"
"2","Manchester City","€441.25m",24,"2014-12-15"
"3","Chelsea FC","€444.75m",24,"2014-12-15"
"4","Manchester United","€461.00m",27,"2014-12-15"
"5","Tottenham Hotspur","€265.75m",27,"2014-12-15"
"6","Arsenal FC","€411.30m",28,"2014-12-15"
"7","Everton FC","€168.25m",24,"2014-12-15"
"8","Leicester City","€53.25m",26,"2014-12-15"
"9","Wolverhampton Wanderers","€24.28m",30,"2014-12-15"
"10","Aston Villa","€99.75m",25,"2014-12-15"
"11","West Ham United","€108.75m",24,"2014-12-15"
"12","Newcastle United","€126.25m",30,"2014-12-15"
"13","Southampton FC","€152.75m",24,"2014-12-15"
"14","Brighton & Hove Albion","€23.50m",26,"2014-12-15"
"15","Fulham FC","€39.95m",33,"2014-12-15"
"16","Crystal Palace","€71.25m",27,"2014-12-15"
"17","Leeds United","€26.78m",31,"2014-12-15"
"18","Sheffield United","€9.35m",28,"2014-12-15"
"19","Burnley FC","€45.00m",27,"2014-12-15"
"20","West Bromwich Albion","€91.50m",26,"2014-12-15"
