"Team","Value","Squad size","Date"
"AFC Bournemouth","£300.83m",27,"2019-12-01"
"Norwich City","£109.44m",25,"2019-12-01"
"Watford FC","£211.64m",29,"2019-12-01"
"Brentford FC","£54.81m",26,"2019-12-01"
"Cardiff City","£67.73m",30,"2019-12-01"
"Bristol City","£57.96m",28,"2019-12-01"
"Swansea City","£48.42m",24,"2019-12-01"
"Reading FC","£45.09m",29,"2019-12-01"
"Stoke City","£93.24m",27,"2019-12-01"
"Blackburn Rovers","£35.51m",25,"2019-12-01"
"Nottingham Forest","£61.70m",31,"2019-12-01"
"Middlesbrough FC","£57.51m",22,"2019-12-01"
"Derby County","£54.68m",27,"2019-12-01"
"Huddersfield Town","£85.05m",27,"2019-12-01"
"Birmingham City","£40.82m",32,"2019-12-01"
"Millwall FC","£19.17m",23,"2019-12-01"
"Sheffield Wednesday","£37.01m",27,"2019-12-01"
"Preston North End","£28.08m",32,"2019-12-01"
"Queens Park Rangers","£31.50m",25,"2019-12-01"
"Barnsley FC","£11.79m",28,"2019-12-01"
"Luton Town","£17.46m",28,"2019-12-01"
"Coventry City","£4.43m",26,"2019-12-01"
"Rotherham United","£6.08m",25,"2019-12-01"
"Wycombe Wanderers","£3.44m",24,"2019-12-01"
