"Team","Value","Squad size","Date"
"Hull City","£26.51m",27,"2020-02-01"
"Ipswich Town","£12.31m",27,"2020-02-01"
"Blackpool FC","£10.49m",28,"2020-02-01"
"Sunderland AFC","£14.63m",26,"2020-02-01"
"Shrewsbury Town","£7.56m",27,"2020-02-01"
"Charlton Athletic","£20.66m",28,"2020-02-01"
"Fleetwood Town","£7.72m",26,"2020-02-01"
"Milton Keynes Dons","£5.72m",29,"2020-02-01"
"Oxford United","£11.16m",26,"2020-02-01"
"Wigan Athletic","£28.40m",31,"2020-02-01"
"Swindon Town","£5.04m",38,"2020-02-01"
"Doncaster Rovers","£3.29m",33,"2020-02-01"
"Portsmouth FC","£5.49m",26,"2020-02-01"
"Burton Albion","£4.88m",28,"2020-02-01"
"Gillingham FC","£3.13m",20,"2020-02-01"
"Bristol Rovers","£4.50m",33,"2020-02-01"
"Plymouth Argyle","£2.81m",26,"2020-02-01"
"Northampton Town","£2.97m",31,"2020-02-01"
"Lincoln City","£4.93m",25,"2020-02-01"
"Peterborough United","£4.21m",25,"2020-02-01"
"Rochdale AFC","£2.99m",29,"2020-02-01"
"Crewe Alexandra","£1.94m",26,"2020-02-01"
"AFC Wimbledon","£2.03m",29,"2020-02-01"
"Accrington Stanley","£2.14m",39,"2020-02-01"
