"Team","Value","Squad size","Date"
"Salford City","£45Th.",3,"2013-10-01"
"Bolton Wanderers","£38.03m",26,"2013-10-01"
"Oldham Athletic","£4.48m",25,"2013-10-01"
"Barrow AFC","£518Th.",22,"2013-10-01"
"Morecambe FC","£1.96m",22,"2013-10-01"
"Mansfield Town","£1.22m",28,"2013-10-01"
"Tranmere Rovers","£3.08m",23,"2013-10-01"
"Grimsby Town","£1.06m",21,"2013-10-01"
"Leyton Orient","£3.62m",21,"2013-10-01"
"Colchester United","£3.62m",27,"2013-10-01"
"Scunthorpe United","£3.56m",25,"2013-10-01"
"Bradford City","£5.56m",22,"2013-10-01"
"Port Vale FC","£3.44m",23,"2013-10-01"
"Crawley Town","£2.61m",23,"2013-10-01"
"Exeter City","£3.33m",24,"2013-10-01"
"Newport County","£1.26m",23,"2013-10-01"
"Southend United","£2.95m",24,"2013-10-01"
"Cheltenham Town","£2.18m",22,"2013-10-01"
"Cambridge United","£495Th.",26,"2013-10-01"
"Carlisle United","£2.93m",21,"2013-10-01"
"Stevenage FC","£3.87m",23,"2013-10-01"
"Forest Green Rovers","£1.19m",29,"2013-10-01"
"Walsall FC","£2.93m",26,"2013-10-01"
"Harrogate Town","£1.55m",34,"2013-10-01"
