"Team","Value","Squad size","Date"
"Liverpool FC","£406.35m",29,"2017-10-01"
"Manchester City","£529.65m",21,"2017-10-01"
"Chelsea FC","£552.96m",26,"2017-10-01"
"Manchester United","£509.18m",25,"2017-10-01"
"Tottenham Hotspur","£443.03m",24,"2017-10-01"
"Arsenal FC","£461.70m",26,"2017-10-01"
"Everton FC","£289.35m",30,"2017-10-01"
"Leicester City","£219.15m",26,"2017-10-01"
"Wolverhampton Wanderers","£65.88m",27,"2017-10-01"
"Aston Villa","£69.98m",28,"2017-10-01"
"West Ham United","£196.56m",24,"2017-10-01"
"Newcastle United","£118.13m",26,"2017-10-01"
"Brighton & Hove Albion","£84.65m",29,"2017-10-01"
"Southampton FC","£224.64m",27,"2017-10-01"
"Fulham FC","£65.93m",24,"2017-10-01"
"Crystal Palace","£169.29m",28,"2017-10-01"
"Leeds United","£39.51m",26,"2017-10-01"
"Sheffield United","£9.92m",27,"2017-10-01"
"Burnley FC","£75.38m",25,"2017-10-01"
"West Bromwich Albion","£129.38m",22,"2017-10-01"
