"Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HR","AR","HY","AY","Season","HomeTeamAbbreviation","AwayTeamAbbreviation","HomeTeamValue","HomeTeamSquadSize","AwayTeamValue","AwayTeamSquadSize","HomeTeamForeignPlayers","HomeTeamMeanAge","AwayTeamForeignPlayers","AwayTeamMeanAge","HGD","AGD"
1993-08-14,"Arsenal","Coventry",0,3,"A",NA,NA,NA,NA,"1993-1994","ARS","COV",NA,NA,NA,NA,NA,NA,NA,NA,-3,3
1993-08-14,"Aston Villa","QPR",4,1,"H",NA,NA,NA,NA,"1993-1994","AVA","QPR",NA,NA,NA,NA,NA,NA,NA,NA,3,-3
1993-08-14,"Chelsea","Blackburn",1,2,"A",NA,NA,NA,NA,"1993-1994","CHE","BLB",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1993-08-14,"Liverpool","Sheffield Weds",2,0,"H",NA,NA,NA,NA,"1993-1994","LIV","SHW",NA,NA,NA,NA,NA,NA,NA,NA,2,-2
1993-08-14,"Man City","Leeds",1,1,"D",NA,NA,NA,NA,"1993-1994","MCI","LEE",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-08-14,"Newcastle","Tottenham",0,1,"A",NA,NA,NA,NA,"1993-1994","NEW","TOT",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1993-08-14,"Oldham","Ipswich",0,3,"A",NA,NA,NA,NA,"1993-1994","OLD","IPS",NA,NA,NA,NA,NA,NA,NA,NA,-3,3
1993-08-14,"Sheffield United","Swindon",3,1,"H",NA,NA,NA,NA,"1993-1994","SHU","SWI",NA,NA,NA,NA,NA,NA,NA,NA,2,-2
1993-08-14,"Southampton","Everton",0,2,"A",NA,NA,NA,NA,"1993-1994","SOU","EVE",NA,NA,NA,NA,NA,NA,NA,NA,-2,2
1993-08-14,"West Ham","Wimbledon",0,2,"A",NA,NA,NA,NA,"1993-1994","WHU","WIM",NA,NA,NA,NA,NA,NA,NA,NA,-2,2
1993-08-15,"Norwich","Man United",0,2,"A",NA,NA,NA,NA,"1993-1994","NOR","MUN",NA,NA,NA,NA,NA,NA,NA,NA,-2,2
1993-08-16,"Tottenham","Arsenal",0,1,"A",NA,NA,NA,NA,"1993-1994","TOT","ARS",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1993-08-17,"Everton","Man City",1,0,"H",NA,NA,NA,NA,"1993-1994","EVE","MCI",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1993-08-17,"Ipswich","Southampton",1,0,"H",NA,NA,NA,NA,"1993-1994","IPS","SOU",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1993-08-17,"Leeds","West Ham",1,0,"H",NA,NA,NA,NA,"1993-1994","LEE","WHU",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1993-08-17,"Wimbledon","Chelsea",1,1,"D",NA,NA,NA,NA,"1993-1994","WIM","CHE",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-08-18,"Blackburn","Norwich",2,3,"A",NA,NA,NA,NA,"1993-1994","BLB","NOR",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1993-08-18,"Coventry","Newcastle",2,1,"H",NA,NA,NA,NA,"1993-1994","COV","NEW",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1993-08-18,"Man United","Sheffield United",3,0,"H",NA,NA,NA,NA,"1993-1994","MUN","SHU",NA,NA,NA,NA,NA,NA,NA,NA,3,-3
1993-08-18,"QPR","Liverpool",1,3,"A",NA,NA,NA,NA,"1993-1994","QPR","LIV",NA,NA,NA,NA,NA,NA,NA,NA,-2,2
1993-08-18,"Sheffield Weds","Aston Villa",0,0,"D",NA,NA,NA,NA,"1993-1994","SHW","AVA",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-08-18,"Swindon","Oldham",0,1,"A",NA,NA,NA,NA,"1993-1994","SWI","OLD",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1993-08-21,"Blackburn","Oldham",1,0,"H",NA,NA,NA,NA,"1993-1994","BLB","OLD",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1993-08-21,"Coventry","West Ham",1,1,"D",NA,NA,NA,NA,"1993-1994","COV","WHU",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-08-21,"Everton","Sheffield United",4,2,"H",NA,NA,NA,NA,"1993-1994","EVE","SHU",NA,NA,NA,NA,NA,NA,NA,NA,2,-2
1993-08-21,"Ipswich","Chelsea",1,0,"H",NA,NA,NA,NA,"1993-1994","IPS","CHE",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1993-08-21,"Leeds","Norwich",0,4,"A",NA,NA,NA,NA,"1993-1994","LEE","NOR",NA,NA,NA,NA,NA,NA,NA,NA,-4,4
1993-08-21,"Man United","Newcastle",1,1,"D",NA,NA,NA,NA,"1993-1994","MUN","NEW",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-08-21,"QPR","Southampton",2,1,"H",NA,NA,NA,NA,"1993-1994","QPR","SOU",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1993-08-21,"Sheffield Weds","Arsenal",0,1,"A",NA,NA,NA,NA,"1993-1994","SHW","ARS",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1993-08-21,"Tottenham","Man City",1,0,"H",NA,NA,NA,NA,"1993-1994","TOT","MCI",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1993-08-21,"Wimbledon","Aston Villa",2,2,"D",NA,NA,NA,NA,"1993-1994","WIM","AVA",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1993-08-22,"Swindon","Liverpool",0,5,"A",NA,NA,NA,NA,"1993-1994","SWI","LIV",NA,NA,NA,NA,NA,NA,NA,NA,-5,5
1993-08-23,"Aston Villa","Man United",1,2,"A",NA,NA,NA,NA,"1993-1994","AVA","MUN",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1993-08-24,"Arsenal","Leeds",2,1,"H",NA,NA,NA,NA,"1993-1994","ARS","LEE",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
